Q339896	Ajith Kumar
Q1046951	Target Corporation
Q1123891	Brotherhood of the Wolf
Q1162	Arunachal Pradesh
Q229572	Kyra Sedgwick
Q135744	Galveston
Q183344	sinusitis
Q2664701	jurist-consultant
Q2283	Microsoft
Q207130	The Last Samurai
Q219602	New York Jets
Q1124743	Penobscot County
Q156737	University of Kiel
Q19456	Bristol City F.C.
Q281681	Grant County
Q1128750	Crazy Heart
Q641324	Hysterical Blindness
Q1367988	Grammy Award for Best Rap Album
Q3972943	publishing
Q4275753	Kyle McCulloch
Q236125	Linda Perry
Q1050603	Deadwood
Q929647	Mask
Q139564	Atlantic City
Q235	Monaco
Q208484	Lebanese Civil War
Q290962	William A. Wellman
Q504078	Christopher Young
Q109651	Humboldt County
Q1169	Lake Michigan
Q2558191	Frank Spotnitz
Q1267828	Milwaukee Admirals
Q1196958	The Soloist
Q272633	Paz de la Huerta
Q918125	45th Academy Awards
Q296796	Dino De Laurentiis
Q1219013	Thunderbolt and Lightfoot
Q172241	The Shawshank Redemption
Q1713151	Allen Covert
Q223043	A Patch of Blue
Q3283847	Bert Rigby, You're a Fool
Q387312	Maldives national football team
Q117500	Mary McDonnell
Q808218	baritone saxophone
Q202174	Argyll and Bute
Q514527	Tom McCarthy
Q8035703	World Fantasy Award for Best Anthology
Q445125	Neal McDonough
Q235503	Laura Innes
Q107325	Bram Stoker's Dracula
Q13164	Moscow State University
Q488653	Albemarle County
Q1526814	California State Senate
Q36192	folklore
Q252612	First Continental Congress
Q216748	Richard Thorpe
Q718972	medical novel
Q212762	Burt Bacharach
Q2132	Victoria
Q149990	University of Rochester
Q348209	Dom DeLuise
Q23466	Chris Pine
Q613931	Saba Qom F.C.
Q496654	Click
Q1142885	outfielder
Q987085	Zetima
Q229325	Gina Gershon
Q45394	The Cabin in the Woods
Q41148	Martin Scorsese
Q497036	Dean Cundey
Q269331	Precious
Q632718	Crossfire
Q27914	tenor
Q365633	Dana Andrews
Q51114	John Ford
Q1199639	Resurrection
Q229766	Shohreh Aghdashloo
Q2450702	You Don't Know Jack
Q180919	Natalie Wood
Q745246	Santos Laguna
Q23594	Homeland
Q380849	Ben Harper
Q528527	Campbell Scott
Q51	Antarctica
Q5018694	Montclair State University
Q233502	Lili Taylor
Q1423854	Lust for Life
Q755523	Doom
Q797897	Fitzwilliam College
Q58586	Edmund Husserl
Q674113	United States Fish and Wildlife Service
Q236569	Lauren Tom
Q34969	Benjamin Franklin
Q875120	SC Cambuur
Q493255	Sandoval County
Q11005	House of Commons
Q18123741	infectious disease
Q191600	civil and political rights
Q7896545	University of Virginia School of Law
Q1243	Veneto
Q117479	Melville Shavelson
Q228789	Lena Headey
Q926438	Gil Vicente F.C.
Q8812	Granada CF
Q107802	2003 invasion of Iraq
Q488821	Citrus County
Q2050326	Northridge
Q105702	Dr. Strangelove
Q1068258	University College Dublin
Q192149	Trinidad and Tobago national football team
Q387674	Final Fantasy VII: Advent Children
Q211094	Ronnie Wood
Q1735	Innsbruck
Q1801544	Lamhe
Q95068	Olivia de Havilland
Q221653	Utrecht University
Q144	dog
Q188304	Sunderland
Q668280	Ulysses' Gaze
Q784444	G-Force
Q2581424	Willie D. Burton
Q314924	Anthony Edwards
Q692	William Shakespeare
Q851	Saudi Arabia
Q656118	South Park: Bigger, Longer & Uncut
Q47770	Blu-ray Disc
Q318428	Wallace & Gromit: The Curse of the Were-Rabbit
Q44442	Dan Castellaneta
Q746413	Elsevier
Q1544904	Greg Daniels
Q759462	Starting Over
Q167498	Meg Ryan
Q2604715	Eddie Brock
Q329131	Jerry Maguire
Q636444	Sailor Moon R: The Movie
Q36687	Victoria
Q397	Latin
Q36767	Robert Pattinson
Q2345	12 Angry Men
Q9653	Ipswich Town F.C.
Q220423	Chocolat
Q752313	Bridget Jones's Diary
Q312084	Melvyn Douglas
Q963626	Paul Shaffer
Q971363	Guardian Children's Fiction Prize
Q457893	Amblin Entertainment
Q23276	Surrey
Q7010868	New Orleans metropolitan area
Q639560	Tennis Borussia Berlin
Q130822	William IV of the United Kingdom
Q886	The Simpsons
Q126800	Happy Feet
Q7575916	Spelman College
Q9215	Sigmund Freud
Q5838	Kabul
Q1647814	Iftekhar
Q215443	Swedish Empire
Q206659	Brendan Gleeson
Q183239	The Curious Case of Benjamin Button
Q153401	Communist Party of Germany
Q474033	Battleship
Q2066131	athlete
Q6882	James Joyce
Q494244	M*A*S*H
Q181923	attention deficit hyperactivity disorder
Q3246315	head coach
Q161376	Miss Universe
Q43293	J. M. Coetzee
Q2868	Lima
Q485716	Glendale
Q156163	Baldwin County
Q10520	David Beckham
Q1728848	Ray Moyer
Q2816456	39th Canadian Parliament
Q176370	The Loss of a Teardrop Diamond
Q339876	L.A. Confidential
Q394607	Agnes Nixon
Q2456779	A Little Romance
Q2383623	Vernon Chatman
Q23755544	Hidden Figures
Q316629	Alan Cumming
Q205998	CFR Cluj
Q44578	Titanic
Q460688	Dominic Chianese
Q1078222	Imperial Russian Army
Q173009	Red Star Belgrade
Q229059	Julia Ormond
Q752541	Final Fantasy: The Spirits Within
Q54134	Newburyport
Q320211	Stan Winston
Q984264	Franklin
Q25331	Odense
Q780469	Yentl
Q604575	L.A. Reid
Q216006	Pan's Labyrinth
Q54073	Middlesex County
Q532264	Showgirls
Q126941	J. Michael Straczynski
Q1339	Johann Sebastian Bach
Q49118	Boston College
Q950380	CBS Corporation
Q8927	Marion Cotillard
Q104680	colonel
Q1327480	electronic drum
Q28003	Copley Medal
Q33264	Las Cruces
Q42989	topology
Q261550	Hollywood Canteen
Q2145	Quebec City
Q61228	Gresham's School
Q234591	Ringo Sheena
Q756563	Joel Madden
Q841781	Gaslight
Q294278	African, Caribbean and Pacific Group of States
Q282126	Stirling Albion F.C.
Q1175266	David Lindley
Q317161	Wayne Shorter
Q486860	Mountain View
Q844673	Columbia University Graduate School of Journalism
Q636043	The Goonies
Q1247858	Only Fools and Horses
Q3946621	Samuel Goldwyn Jr.
Q385378	construction
Q37043	Tallahassee
Q104146	Deborah Kerr
Q219557	cult film
Q313565	Jeff Gordon
Q465607	The Jacket
Q27958298	Darkest Hour
Q28515	Springfield
Q95111	Norman Taurog
Q1509291	Georgia
Q1198853	The Great Waltz
Q186785	Rosenborg BK
Q582147	Snow Falling on Cedars
Q239520	Kenya national football team
Q1321279	Johann Mouse
Q18938	Thomas Jane
Q105487	Maurice Jarre
Q8134	economics
Q390097	Cold Mountain
Q78508	Erich von Stroheim
Q1722258	New York State Senate
Q350405	Adam McKay
Q2306995	The Dukes of Hazzard
Q36301	Anne Hathaway
Q459148	En Avant de Guingamp
Q9067	Hungarian
Q191142	Moldova national football team
Q750927	Steve Miller Band
Q8681	Pan Am
Q235272	Amy Smart
Q12312	Franklin Pierce
Q732002	Royal Antwerp F.C
Q179090	Aaron Burr
Q174371	127 Hours
Q490914	York County
Q676341	Dead End
Q1001	Mahatma Gandhi
Q296403	Lamar Odom
Q1815371	National Institute of Dramatic Art
Q432552	KRS-One
Q156629	Yakima County
Q229487	Allison Janney
Q188143	Montreal Canadiens
Q994248	The World According to Garp
Q310493	Robert Wagner
Q2599077	Yale College
Q2412388	Fiesta
Q59566	The Upside of Anger
Q310170	Curtis Mayfield
Q421707	Jerry Orbach
Q541079	Jumper
Q482662	Any Given Sunday
Q511849	Gaston County
Q483352	thrash metal
Q72984	Bing Crosby
Q1369944	French American
Q3518444	Girish Karnad
Q1600325	John Barry
Q42308	Kharkiv
Q126896	In the Valley of Elah
Q1317534	goaltender
Q162990	Cleveland Cavaliers
Q22692	freedom of speech
Q1767860	Les Fresholtz
Q55163	Robert Altman
Q209509	Grenoble Foot 38
Q158759	Unknown
Q1542160	Grammy Award for Best Hard Rock Performance
Q925604	Marshall Herskovitz
Q521400	Robert F. Boyle
Q743934	sketch comedy
Q755403	Litchfield
Q3540690	Ithaca College
Q1104158	Coach Carter
Q102438	Harry Potter and the Philosopher's Stone
Q23829	The Office
Q19955874	Florence Foster Jenkins
Q1259362	Saturn Award for Best Actor
Q233619	Hrithik Roshan
Q1075339	Ohio University
Q811023	Battlefield Earth
Q276772	Dredd
Q1067471	University of Calgary
Q1858	Hanoi
Q311253	Harlan Ellison
Q172969	FC Shakhtar Donetsk
Q928007	Lois & Clark: The New Adventures of Superman
Q217160	Kenny Rogers
Q488345	The Clearing
Q557596	Fish Tank
Q573341	Felix Bastians
Q31426	America's Next Top Model
Q2302133	swingman
Q1229499	Hal Pereira
Q45	Portugal
Q787098	BAFTA Award for Best Film Music
Q21203	Aruba
Q33377	Jalandhar
Q4809486	Grammy Award for Best Rap Performance by a Duo or Group
Q1357016	Three Kings
Q1385418	Russell Billiu Long
Q220499	streaming media
Q106291	Academy Award for Best Supporting Actor
Q920983	Glen Ballard
Q781360	Australian Army
Q704	Olympique Lyonnais
Q183092	Merle Haggard
Q220505	film festival
Q579655	Michael D. Ford
Q6757069	Marci Klein
Q105861	VfL Bochum
Q169997	Darjeeling
Q438406	Grey's Anatomy
Q956883	Carnatic music
Q495377	Richmond
Q229009	Debra Winger
Q343983	Henry Winkler
Q303678	Alvin and the Chipmunks: Chipwrecked
Q642291	F.C. Dallas
Q9660	1992 Winter Olympics
Q255771	Equatorial Guinea national football team
Q171861	The Artist
Q19473	Huddersfield Town A.F.C.
Q264565	Elliot Goldenthal
Q372489	Harold Faltermeyer
Q1240097	Donald McAlpine
Q315202	Roscoe Arbuckle
Q49191	Portsmouth
Q12722	Haut-Rhin
Q39913	Seoul National University
Q6602	Strasbourg
Q9582	Gerald Ford
Q400985	Missing
Q472313	The Interpreter
Q461768	The Spiderwick Chronicles
Q329646	United Methodist Church
Q48935	Chesterfield F.C.
Q562257	Geoffrey Lewis
Q1061539	Astro Boy
Q150916	Jon Bon Jovi
Q10390	John McCain
Q223685	steampunk
Q389879	Esbjerg fB
Q1137372	Four Rooms
Q298799	Pat Morita
Q588246	Nathan H. Juran
Q131742	hepatitis
Q470572	Jesus of Nazareth
Q170703	Boca Juniors
Q499510	University of Liverpool
Q237896	Reading
Q1882874	Worcester City F.C.
Q903885	Green Lantern
Q863813	Binghamton University
Q110154	George Takei
Q525128	Mighty Joe Young
Q264699	Wil Wheaton
Q4115624	Monica Rial
Q934135	Elmira
Q1122661	Project Runway
Q531332	The Big House
Q1376074	Geoff Johns
Q908659	Seven Network
Q185729	War on Terror
Q3080929	K Records
Q741878	Good Morning, Vietnam
Q810012	Basic Instinct 2
Q174769	United Airlines
Q47122	Enrique Iglesias
Q381831	James Whale
Q48	Asia
Q918769	Extremely Loud and Incredibly Close
Q212483	mellotron
Q25191	Christopher Nolan
Q46096	Felix Mendelssohn
Q499935	Poltergeist II: The Other Side
Q756238	Robots
Q313749	Jon Anderson
Q544664	Bel Ami
Q1784838	Tony Award for Best Book of a Musical
Q49192	Middletown
Q9798	saxophone
Q491540	Sarasota
Q277751	Academy Award for Best Production Design
Q149431	Cadillac Records
Q172025	Chile national football team
Q467500	Roberto Orci
Q51668	The Passion of the Christ
Q47369	harp
Q217573	Dianne Wiest
Q485600	Montgomery County
Q460674	ska punk
Q572134	Brooklyn Nets
Q271880	Detroit Lions
Q281404	Kevin McCarthy
Q487403	McHenry County
Q34664	Hiroshima
Q741823	JFK
Q181678	Dolph Lundgren
Q726130	Martin Donovan
Q325396	Judd Apatow
Q12792	Vaucluse
Q433113	Robert Rossen
Q2625080	A Stranger Among Us
Q108499	San Joaquin County
Q1051023	Frankenweenie
Q46248	Terry Pratchett
Q47896	Miyagi Prefecture
Q2697337	38th People's Choice Awards
Q310829	John Marshall
Q47952	Salford
Q1935109	Phil Tippett
Q213923	Porcupine Tree
Q1854488	University of Idaho
Q79990	Christchurch
Q614200	Evangelion: 2.0 You Can (Not) Advance
Q220735	The French Connection
Q13989	Honshu
Q8409	Alexander the Great
Q2842976	American Masters
Q235989	Angie Dickinson
Q182431	Art Carney
Q157256	Yann Tiersen
Q484442	Spider-Man
Q1445	Tamil Nadu
Q729782	The Parent Trap
Q487136	Academy Award for Best Makeup and Hairstyling
Q58635	Punjabi
Q332170	Kenneth O'Donnell
Q217010	The Twilight Saga: Eclipse
Q2321734	police procedural
Q1247808	Richard Day
Q389258	William L. Marcy
Q596698	Andrew Gold
Q335515	Alberto Iglesias
Q2336453	Heartbeats
Q1845	Bible
Q2743435	psychedelic soul
Q217831	Greenock
Q190373	Joseph Barbera
Q3107449	Grammy Award for Best Traditional Blues Album
Q482436	An Education
Q42930	Dustin Hoffman
Q262	Algeria
Q310937	Peter Dinklage
Q156552	Lynn Redgrave
Q460095	Tonino Guerra
Q822314	Sony Pictures
Q493378	Culver City
Q206987	vibraphone
Q1230318	Carefree
Q509913	Legend
Q8438	1972 Summer Olympics
Q3023357	12 Years a Slave
Q334	Singapore
Q223177	Casper
Q381243	special effects
Q2579196	Masters of Sex
Q180403	Pieces of April
Q27107	DC Universe Online
Q133032	Hungarians
Q1046707	Casablanca Records
Q8097	Telugu
Q153018	Maximilian Schell
Q190145	Spider-Man 2
Q201516	Miami Beach
Q46172	Denis Thatcher
Q180560	Philip Seymour Hoffman
Q7987530	Western Australian Legislative Assembly
Q1171	Goa
Q53922	American Horror Story
Q225	Bosnia and Herzegovina
Q909445	Shame
Q1621909	The Alamo
Q3205691	Coney Island
Q1508	Makati
Q917163	34th Academy Awards
Q34659	My Name Is Earl
Q106819	Veer-Zaara
Q724	Maine
Q1321622	Yankee Doodle Dandy
Q887569	The Cat Concerto
Q186268	Georgia national football team
Q123766	Charlottesville
Q903819	Breakfast on Pluto
Q526868	Andy Nelson
Q1689199	Jim Reardon
Q1249239	Evil Angels
Q1404374	Prem Rog
Q469999	39th Berlin International Film Festival
Q3615392	UCLA Bruins men's basketball
Q483197	Pietà
Q746647	Montmartre Cemetery
Q160112	Museo del Prado
Q163249	Jessica Biel
Q38082	Lewis Carroll
Q2707888	Kenichi Ogata
Q2333358	Metropolis Records
Q503480	Norman Reynolds
Q1458113	University of Victoria
Q316454	Don Henley
Q15039861	The Normal Heart
Q928168	Bronxville
Q679679	House of Wax
Q526960	fullback
Q1973834	Play It Again Sam
Q49202	Greenwich
Q23183	Wiltshire
Q1215884	National Football League
Q1100801	Cleveland State University
Q223559	Robin Hood
Q784	Dominica
Q1780634	Golden Raspberry Award for Worst Picture
Q380869	Alastair Reynolds
Q164444	funk
Q155483	House of Orange-Nassau
Q1132346	North Carolina State University
Q7241	Rabindranath Tagore
Q604879	Minnesota Twins
Q49197	Cranston
Q1542119	United Artists Records
Q430922	Paul Reiser
Q212826	West Bromwich
Q9174	religion
Q128085	Georg Solti
Q601402	Antonio Cánovas del Castillo de Rey
Q170327	South Africa national football team
Q4948	Republic of Venice
Q1426821	cardinal
Q141688	Anorthosis Famagusta FC
Q1644016	Tommy Boy Records
Q16867	Edgar Allan Poe
Q1287651	Jack Webb
Q103343	Jennifer Connelly
Q684538	Original Sin
Q641	Venice
Q1605791	8th Screen Actors Guild Awards
Q29112	Spartak Moscow
Q1935609	propaganda film
Q180338	Christopher Lee
Q228405	Madurai
Q2844572	Amy Nuttall
Q188987	William Gibson
Q497793	Bendigo
Q49221	Scottsdale
Q845015	Chiswick
Q495998	Sussex County
Q1320340	Los Angeles Unified School District
Q495373	Visalia
Q950900	Master of Science
Q431772	Passion Fish
Q19504	Fritz Lang
Q138367	Camden
Q105853	Karlsruher SC
Q1475611	In & Out
Q669622	3 Women
Q147395	Kajol
Q1141493	The Heiress
Q28493	Ralph Fiennes
Q1790292	National Board of Review Award for Best Actor
Q1458155	Sicilian Mafia
Q418736	Akira Ishida
Q1198887	music director
Q43274	Charles, Prince of Wales
Q223728	Maccabi Tel Aviv F.C.
Q3276006	Meena
Q369706	47th Academy Awards
Q322915	Danger Mouse
Q230136	Teresa Wright
Q762877	Take Shelter
Q938235	58th Academy Awards
Q790192	experimental film
Q611723	Ryerson University
Q1344131	Sparks
Q1055	Hamburg
Q207011	neuroscience
Q234360	Ruby Dee
Q467076	Anchorman: The Legend of Ron Burgundy
Q229319	Lorraine Bracco
Q3547550	UTV Motion Pictures
Q35637	Nobel Peace Prize
Q1154802	Murder in the First
Q733677	Match Point
Q191489	melodrama
Q43416	Keanu Reeves
Q1419066	Norma Rae
Q44426	Rainer Werner Fassbinder
Q10648	Gordon Brown
Q301049	Winter's Bone
Q345	Virgin Mary
Q702373	The Super Dimension Fortress Macross
Q598499	The Pacific
Q466508	Rosemary Clooney
Q426828	Donnie Darko
Q853630	slasher film
Q312399	John Noble
Q663400	Deportivo Cali
Q2002001	Obsession
Q28969	54th Academy Awards
Q193481	AC Sparta Prague
Q5479360	Macy's, Inc.
Q4722629	Hong Kong Film Award for Best Film
Q1653448	The Station Agent
Q211848	mustang
Q508202	George Jones
Q188385	Gertrude Stein
Q647599	The China Syndrome
Q38848	heavy metal
Q209282	Frasier
Q354033	Joe Walsh
Q230035	Joan Plowright
Q1332263	Small Soldiers
Q1145528	Curtis Armstrong
Q1369558	winger
Q262854	University of Lancaster
Q687040	Syriana
Q775923	Rachel, Rachel
Q743738	Real World
Q1199406	The Shootist
Q129673	Ulsan Hyundai FC
Q2110156	Primetime Emmy Award for Outstanding Comedy Series
Q364884	TobyMac
Q3140	Hudson River
Q76824	Cat Ballou
Q311256	Richard Marx
Q627906	electro house
Q939079	Jon Avnet
Q290629	PFC Cherno More Varna
Q5484889	Frank A. Montaño
Q622432	Rio Ave F.C.
Q4649800	AACTA Award for Best Actress in a Leading Role
Q3072043	dance film
Q31292	Sam Spiegel
Q14798167	Rich Man, Poor Man
Q908	Rostov-on-Don
Q8345	bass clarinet
Q181069	Star Wars Episode II: Attack of the Clones
Q155018	The Name of the Rose
Q679918	Knight and Day
Q822057	Primal Fear
Q1849138	Nonesuch Records
Q3561	Algiers
Q14441	Liza Minnelli
Q336388	James Levine
Q79872	object-oriented programming
Q123028	pediatrics
Q44198	Brampton
Q193023	Capitol Records
Q356109	Nick Lachey
Q683766	63rd Golden Globe Awards
Q490744	Alameda
Q80434	Aichi Prefecture
Q272076	Dean Koontz
Q295847	Richard Chamberlain
Q209459	Golden Lion
Q34670	Albert Camus
Q43189	Juanes
Q3121014	Graham Holdings Company
Q317865	Joplin
Q128047	Edmund A. Walsh School of Foreign Service
Q2300191	Quartet
Q825079	Madame X
Q762776	Adrien Beard
Q76582	Shatranj Ke Khilari
Q147235	How I Met Your Mother
Q352473	Dave Navarro
Q193582	French National Assembly
Q308714	Communist Party USA
Q880256	Black Entertainment Television
Q1165609	USA for Africa
Q572004	Austin Pendleton
Q852435	Steely Dan
Q354181	Steven Van Zandt
Q1156766	Japanese American
Q313266	John DiMaggio
Q1027247	An Ideal Husband
Q574192	Greenville
Q24632	John Barrowman
Q624985	Eastern Illinois University
Q498163	Morris County
Q757253	FC Banants
Q77590	civil engineering
Q2713545	Hal Smith
Q11300	Edmund H. Hansen
Q291471	AEL Limassol FC
Q23556	Atlanta
Q19446	Blackburn Rovers F.C.
Q462905	Edwin B. Willis
Q11144	Associate Justice of the Supreme Court of the United States
Q129164	Fukuoka SoftBank Hawks
Q1418502	procedural programming
Q163740	nonprofit organization
Q15136	Coimbatore district
Q251559	The Treasure of the Sierra Madre
Q127635	Hanshin Tigers
Q19442	Barnsley F.C.
Q46913	Shanxi
Q180228	Smallville
Q940902	Scott Smith
Q1013	Lesotho
Q471423	The Specialist
Q21578	Princeton University
Q1365614	EMI Music Japan
Q23609	Weeds
Q176371	Professional Football Club Central Sports Club of Army Moscow
Q7600659	Star Cinema
Q171736	Robert Duvall
Q497172	Kennebec County
Q928022	Neal H. Moritz
Q545634	Jorma Taccone
Q220955	Erin Brockovich
Q1025	Mauritania
Q180861	Roger Waters
Q797849	Baby Doll
Q2545719	Love of Life
Q937935	West Virginia Mountaineers football
Q126633	Marjane Satrapi
Q738135	Aspyr
Q201641	Chris Sanders
Q725539	The Town
Q508412	Billy Bragg
Q1734	volleyball
Q3019895	The Wire, season 2
Q1809086	Legislative Assembly of Ontario
Q981809	Mehcad Brooks
Q18711	Aston Villa F.C.
Q524711	Jonathan Lynn
Q2604581	Hyde Park on Hudson
Q679933	Eidos Interactive
Q1967719	National Society of Film Critics Award for Best Supporting Actress
Q849628	Brian K. Vaughan
Q349799	Adam Horowitz
Q2288792	Sinclair Broadcast Group
Q212206	India national football team
Q1104987	Ernst Stavro Blofeld
Q1534737	Life
Q639452	Lakeland
Q1333734	Marv Wolfman
Q660984	intelligent dance music
Q624611	One Life to Live
Q5933	Westminster Abbey
Q223545	Daniel D. Tompkins
Q1305546	Heaven Can Wait
Q482980	author
Q330663	My Name Is Khan
Q2674710	Dancing with the Stars
Q268549	Sherri Shepherd
Q258092	Tora! Tora! Tora!
Q840065	new jack swing
Q185048	Dodsworth
Q721134	San Diego Padres
Q137042	Nat King Cole
Q486822	Robin Hood: Prince of Thieves
Q30	United States of America
Q55428	Neil Jordan
Q115026	Swedish American
Q153484	Resident Evil
Q393686	Academy Award for Best Visual Effects
Q209481	Eyes Wide Shut
Q361610	Xander Berkeley
Q1341851	The Little Orphan
Q155629	Sesame Street
Q157803	Farida Jalal
Q323472	The Fighter
Q203184	First Lady
Q976882	Social Distortion
Q221249	Tootsie
Q1087883	Chronicle
Q214051	Chiyoda-ku
Q4614	University of Southern California
Q4992254	Grammy Award for Best Music Film
Q910854	Matt Servitto
Q627603	cartoon
Q1328605	King Records
Q712452	Artie Lange
Q41166	Jonathan Swift
Q150804	The Pianist
Q736466	Saul Zaentz
Q182349	Broderick Crawford
Q128982	Cyrano de Bergerac
Q2305609	Chelmsford City F.C.
Q508660	Ann Roth
Q10717	Georgetown
Q5690	Sparta
Q635937	Scary Movie 3
Q1197720	Gotti
Q1542172	Grammy Award for Best Rap/Sung Performance
Q644041	Tommy Boy
Q42372	nebula
Q3387717	theatre director
Q3150	Jena
Q640097	electric blues
Q127970	Larimer County
Q492342	Fredericksburg
Q218883	Urawa Red Diamonds
Q1247468	Hallmark Hall of Fame
Q748006	MTV Movie Award for Best New Filmmaker
Q210189	anti-fascism
Q182763	Forest Whitaker
Q185667	Turing Award
Q729006	Chatham
Q912729	The Purple Rose of Cairo
Q45909	John Cale
Q613952	Love Among the Ruins
Q1330417	Vertigo Records
Q1423568	Tequila Sunrise
Q488826	Alachua County
Q721219	Davis Guggenheim
Q952419	John Lutz
Q264603	Marcia Wallace
Q20378	alternative metal
Q362559	Delroy Lindo
Q9248	Baku
Q575750	Quincy
Q891732	Orion Pictures
Q846373	The Temptations
Q356309	Fred MacMurray
Q582979	Cave of Forgotten Dreams
Q4917	United States dollar
Q806231	Band Aid
Q1177	Himachal Pradesh
Q436223	Jenny Beavan
Q51133	King Vidor
Q37525	glucose
Q1500395	Inherit the Wind
Q117696	Remember the Titans
Q10286	Club Atlético Osasuna
Q48619	Bobby Deol
Q1551573	The Player
Q822722	Partick Thistle F.C.
Q703778	neo-psychedelia
Q1897128	Marie Antoinette
Q31293	Vondie Curtis-Hall
Q1754	Stockholm
Q1145306	University of Calcutta
Q602883	The Transformers
Q122549	Shochiku
Q269869	Greg Kinnear
Q2358684	Warren Feeney
Q1453643	Grammy Award for Best New Artist
Q426316	United Church of Christ
Q60130	Veracruz
Q159347	Steve McQueen
Q13416804	Warner Bros. Animation
Q233466	Elisabeth Moss
Q5917	Huntington Beach
Q2510955	Japan Academy Prize for Animation of the Year
Q234679	Charlotte Rampling
Q40090	Chandra Wilson
Q262479	Samuel Fuller
Q175142	Cybill Shepherd
Q640374	Tony Award for Best Direction of a Play
Q183032	Johor
Q116219	Alex Borstein
Q463615	Capote
Q550381	Dick Wolf
Q208696	Tarzan
Q161916	Owen Wilson
Q238866	Wedding Crashers
Q451558	The Turning Point
Q6848167	Mike Nawrocki
Q1622751	Sounder
Q460852	Wendy Melvoin
Q501663	Thomas and Friends
Q2758667	CBS Schoolbreak Special
Q1759986	Wurlitzer electric piano
Q319723	Tex Avery
Q218172	Zodiac
Q309162	extreme sport
Q505790	Mission: Impossible II
Q495	Turin
Q9616	Chelsea F.C.
Q256527	Spin City
Q2598	Watford
Q2865389	Arthur Wong
Q132265	Theravada
Q945887	Primetime Emmy Award for Outstanding Supporting Actor in a Miniseries or a Movie
Q917808	Academy Award for Best Animated Short Film
Q1848657	University of Tulsa
Q106871	Die Hard with a Vengeance
Q501766	Murfreesboro
Q637180	Heaven Can Wait
Q308929	Training Day
Q3231410	delicatessen
Q558977	Carnegie Institute of Technology
Q1922071	Indo-Pakistani War of 1971
Q54438	Rockingham County
Q1159118	Dan Mazer
Q315728	John Mills
Q83055	Operation Barbarossa
Q5603	Andy Warhol
Q1344736	Entertainment One
Q382389	Jacques Audiard
Q309756	Freddie Prinze
Q265222	NOFX
Q314640	Andy Samberg
Q60206	Ariel Sharon
Q220780	Raging Bull
Q103550	The Velvet Underground
Q847	tennis
Q484294	Palm Beach County
Q798737	The Bad Lieutenant: Port of Call New Orleans
Q1317816	indie folk
Q11209	United States Department of Defense
Q27480769	Lady Bird
Q885355	Bloomfield Hills
Q216337	boy band
Q498867	A Time to Kill
Q170134	SV Waldhof Mannheim
Q378672	Jerry O'Connell
Q464042	Anaconda
Q1423695	Kiss Kiss Bang Bang
Q612323	Nell
Q102448	Harry Potter and the Prisoner of Azkaban
Q832515	Blues Brothers 2000
Q590102	Styx
Q349166	Ben Johnson
Q36279	biography
Q270222	Michigan State University
Q1463985	soprano saxophone
Q2021531	Frankenstein's monster
Q71092	Second French Empire
Q1019	Madagascar
Q603448	Indecent Proposal
Q221202	Home Alone 2: Lost in New York
Q674953	defensive back
Q20856802	La La Land
Q930746	Shortbus
Q6221	Brescia
Q83588	chemical engineering
Q809	Polish
Q5921	Chuck Berry
Q392667	Wake Forest University
Q208045	gold
Q270051	A.C. Ajaccio
Q593615	The Sea Inside
Q1381081	Golden Boy
Q841045	Ulster Unionist Party
Q3057268	Interactive Advertising Bureau
Q253978	Dirty Dancing
Q163038	Psycho
Q181683	Carly Simon
Q1086864	Chris Newman
Q329176	George J. Folsey
Q232511	Kathryn Joosten
Q1681198	James Tiptree, Jr. Award
Q5043	Christianity
Q1422237	Gulliver's Travels
Q926238	Starter for 10
Q289612	general contractor
Q105405	Cherokee
Q1773	Riga
Q23814	Stephen Merchant
Q945074	Being There
Q14646	Solaris
Q1016159	Williamsport
Q83338	Robin Williams
Q1169380	Crimes of the Heart
Q257533	music of Japan
Q868217	sports video game
Q167155	Kalamazoo
Q750	Bolivia
Q159893	Atlanta Hawks
Q16557	Dallas
Q5466629	for-profit education
Q232990	Deborah Ann Woll
Q178115	Robert L. Surtees
Q22432	Signs
Q173496	Marvel Comics
Q232120	Angela Bassett
Q486439	Cedar Rapids
Q500093	Legally Blonde
Q2717612	20th Century Fox Television
Q1650915	researcher
Q1926	Alou Diarra
Q49242	Corpus Christi
Q1219923	Magnificent Obsession
Q587361	Rick Rubin
Q9217	Thai
Q25305	British Virgin Islands
Q771	Massachusetts
Q505449	Los Angeles Film Critics Association Award for Best Director
Q108946	A Few Good Men
Q12177503	Nicholas Brody
Q116845	Silver Linings Playbook
Q153172	Vangelis
Q7432	species
Q11701	United States House of Representatives
Q507770	Mecklenburg County
Q181917	David Niven
Q315756	Mike Leigh
Q2123	Regina
Q191701	Master of Business Administration
Q544780	Running on Empty
Q32849	Akon
Q695511	College Station
Q19580	Coventry City F.C.
Q49004	Patrick Swayze
Q236711	Laurie Metcalf
Q259468	Jessica Walter
Q649	Moscow
Q1052826	Celebrity
Q1395728	Fanny
Q186341	The Shining
Q483407	Ramones
Q119	May
Q170515	Omar Sharif
Q165911	Usher
Q2570	John Romita Jr.
Q484993	The Mars Volta
Q189547	Marcia Cross
Q194419	Richard Branson
Q138391	Paterson
Q1886	Atalanta B.C.
Q549570	Frank Marshall
Q326350	Marshall Carter
Q631	FC Inter Milan
